INFO 2026-02-26 21:33:23,824 autoreload Watching for file changes with StatReloader
INFO 2026-02-26 21:37:25,982 autoreload Watching for file changes with StatReloader
WARNING 2026-02-26 22:26:06,862 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:26:18,240 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:26:31,823 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:26:43,332 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:28:41,190 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:32:03,756 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:32:59,083 log Not Found: /
WARNING 2026-02-26 22:33:06,475 log Not Found: /docs
WARNING 2026-02-26 22:42:39,632 log Method Not Allowed: /api/auth/login/
WARNING 2026-02-26 22:42:39,640 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:42:39,646 log Unauthorized: /api/users/
WARNING 2026-02-26 22:42:39,653 log Unauthorized: /api/transactions/
WARNING 2026-02-26 22:42:39,666 log Not Found: /api/admin/
WARNING 2026-02-26 22:42:39,785 log Not Found: /api/schema/swagger-ui/
WARNING 2026-02-26 22:42:39,801 log Not Found: /.env
WARNING 2026-02-26 22:42:39,822 log Not Found: /config.php
WARNING 2026-02-26 22:42:39,838 log Not Found: /wp-admin
WARNING 2026-02-26 22:42:39,850 log Not Found: /phpmyadmin
WARNING 2026-02-26 22:42:39,866 log Not Found: /backup.sql
WARNING 2026-02-26 22:42:39,876 log Not Found: /.git/config
WARNING 2026-02-26 22:42:39,885 log Not Found: /server-status
WARNING 2026-02-26 22:42:39,894 log Not Found: /etc/passwd
WARNING 2026-02-26 22:42:39,905 log Not Found: /api/../../etc/passwd
WARNING 2026-02-26 22:42:40,037 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:40,168 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:40,301 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:40,431 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:40,557 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:40,684 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:40,809 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:40,934 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:41,057 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:41,185 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:41,309 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:41,433 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:41,557 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:41,681 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:41,807 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:41,932 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:42,053 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:42,178 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:42,313 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:42,445 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:42,572 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:42,698 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:42,823 log Bad Request: /api/auth/login/
